Category    	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0035579~specific granule membrane	4	25.0	2.902679090679873E-5	VAMP8, SNAP23, SCAMP1, PLD1	15	91	20666	60.55970695970696	0.0024063586777892665	0.001292271847426906	0.0010898678231311255
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	9	56.25	3.11390806608893E-5	VAMP8, ITSN2, SYPL1, SNAP23, ITSN1, ARHGAP1, RAB5A, SCAMP2, ARF6	15	2242	20666	5.530597680642283	0.0025812467744620315	0.001292271847426906	0.0010898678231311255
GOTERM_CC_DIRECT	GO:0055038~recycling endosome membrane	4	25.0	5.8430411597672166E-5	VAMP8, SCAMP1, SCAMP2, ARF6	15	115	20666	47.921159420289854	0.004838124243831343	0.00161657472086893	0.0013633762706123504
GOTERM_CC_DIRECT	GO:0030139~endocytic vesicle	3	18.75	9.741927041529091E-4	PLD1, RAB5A, ARF6	15	69	20666	59.90144927536232	0.07771169186444837	0.018087486261608582	0.015254506485693984
GOTERM_CC_DIRECT	GO:0070821~tertiary granule membrane	3	18.75	0.001089607606120999	VAMP8, SNAP23, PLD1	15	73	20666	56.61917808219179	0.0865135513250469	0.018087486261608582	0.015254506485693984
GOTERM_CC_DIRECT	GO:0030670~phagocytic vesicle membrane	3	18.75	0.0015078150049749604	VAMP8, SNAP23, RAB5A	15	86	20666	48.06046511627907	0.11771759827822692	0.020858107568820287	0.017591175058041204
GOTERM_CC_DIRECT	GO:0016020~membrane	10	62.5	0.0033211365130437803	VAMP8, SYPL1, GPR108, SNAP23, ITSN1, ARHGAP1, SCAMP1, PLD1, SCAMP2, ARF6	15	5475	20666	2.5164079147640788	0.2412728781078567	0.03909430565440925	0.03297110115432106
GOTERM_CC_DIRECT	GO:0030672~synaptic vesicle membrane	3	18.75	0.0037681258462081207	SYPL1, SCAMP1, RAB5A	15	137	20666	30.169343065693432	0.26900245578762383	0.03909430565440925	0.03297110115432106
GOTERM_CC_DIRECT	GO:0005794~Golgi apparatus	5	31.25	0.00525097976598146	GPR108, SYNRG, PLD1, SCAMP2, ARF6	15	1103	20666	6.245391356905409	0.35401539892974265	0.04842570228627346	0.040840953735411356
GOTERM_CC_DIRECT	GO:0031901~early endosome membrane	3	18.75	0.008393778763642546	VAMP8, RAB5A, ARF6	15	207	20666	19.967149758454106	0.5032279484938764	0.06966836373823314	0.058756451345497826
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	4	25.0	0.013172063804427004	VAMP8, SYNRG, ARHGAP1, PLD1	15	757	20666	7.279964773227652	0.6673104618843526	0.08598885533788854	0.07252072136930358
GOTERM_CC_DIRECT	GO:0097708~intracellular vesicle	2	12.5	0.01346813396858495	ITSN2, ITSN1	15	20	20666	137.77333333333334	0.6754939536836092	0.08598885533788854	0.07252072136930358
GOTERM_CC_DIRECT	GO:0042589~zymogen granule membrane	2	12.5	0.01346813396858495	VAMP8, SCAMP1	15	20	20666	137.77333333333334	0.6754939536836092	0.08598885533788854	0.07252072136930358
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	9	56.25	0.015813842407845613	VAMP8, ITSN2, SYPL1, SNAP23, ITSN1, SCAMP1, PLD1, RAB5A, ARF6	15	5534	20666	2.2406216118539932	0.7336749884419258	0.09375349427508471	0.07906921203922807
GOTERM_CC_DIRECT	GO:0005768~endosome	3	18.75	0.019010982984876183	PLD1, RAB5A, ARF6	15	318	20666	12.99748427672956	0.7967062415831616	0.10519410584964821	0.08871792059608886
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	9	56.25	0.02307272261140475	VAMP8, ITSN2, SYNRG, SNAP23, ITSN1, ARHGAP1, EXOC5, RAB5A, ARF6	15	5887	20666	2.1062680482418887	0.8559326439357483	0.11968974854666214	0.10094316142489579
GOTERM_CC_DIRECT	GO:0031201~SNARE complex	2	12.5	0.032040716838963396	VAMP8, SNAP23	15	48	20666	57.40555555555556	0.9329901865928212	0.15643408809611542	0.13193236345455514
GOTERM_CC_DIRECT	GO:0030669~clathrin-coated endocytic vesicle membrane	2	12.5	0.04705331913990772	VAMP8, RAB5A	15	71	20666	38.8093896713615	0.9816897639174402	0.21696808270068557	0.18298512998853003
GOTERM_CC_DIRECT	GO:0001726~ruffle	2	12.5	0.06503767084219343	RAB5A, ARF6	15	99	20666	27.83299663299663	0.9962337306680888	0.2830955879314768	0.23875531512293222
GOTERM_CC_DIRECT	GO:0042470~melanosome	2	12.5	0.06821580432083778	SYPL1, RAB5A	15	104	20666	26.494871794871795	0.9971609488567655	0.2830955879314768	0.23875531512293222
GOTERM_CC_DIRECT	GO:0032588~trans-Golgi network membrane	2	12.5	0.07327995949082895	SCAMP1, SCAMP2	15	112	20666	24.60238095238095	0.9981939488300007	0.28963031608280015	0.24426653163609652
GOTERM_CC_DIRECT	GO:0008021~synaptic vesicle	2	12.5	0.08458101018860872	SYPL1, RAB5A	15	130	20666	21.195897435897436	0.999347691344995	0.3187181893309887	0.2687984729297495
GOTERM_CC_DIRECT	GO:0055037~recycling endosome	2	12.5	0.08831949824834627	VAMP8, ITSN1	15	136	20666	20.260784313725487	0.9995355474775082	0.3187181893309887	0.2687984729297495
GOTERM_CC_DIRECT	GO:0042734~presynaptic membrane	2	12.5	0.09575398030793354	ITSN2, ITSN1	15	148	20666	18.618018018018017	0.999764609854038	0.3311491818982702	0.27928244256480617
